Architecture    Offer                                 Publisher    Sku                    Urn                                                                                 Version
--------------  ------------------------------------  -----------  ---------------------  ----------------------------------------------------------------------------------  ---------------
Arm64           0001-com-ubuntu-pro-bionic            Canonical    pro-18_04-lts-arm64    Canonical:0001-com-ubuntu-pro-bionic:pro-18_04-lts-arm64:18.04.202409110            18.04.202409110
Arm64           0001-com-ubuntu-pro-bionic            Canonical    pro-18_04-lts-arm64    Canonical:0001-com-ubuntu-pro-bionic:pro-18_04-lts-arm64:18.04.202409180            18.04.202409180
Arm64           0001-com-ubuntu-pro-bionic            Canonical    pro-18_04-lts-arm64    Canonical:0001-com-ubuntu-pro-bionic:pro-18_04-lts-arm64:18.04.202410020            18.04.202410020
Arm64           0001-com-ubuntu-pro-focal             Canonical    pro-20_04-lts-arm64    Canonical:0001-com-ubuntu-pro-focal:pro-20_04-lts-arm64:20.04.202409110             20.04.202409110
Arm64           0001-com-ubuntu-pro-focal             Canonical    pro-20_04-lts-arm64    Canonical:0001-com-ubuntu-pro-focal:pro-20_04-lts-arm64:20.04.202410020             20.04.202410020
Arm64           0001-com-ubuntu-pro-focal             Canonical    pro-20_04-lts-arm64    Canonical:0001-com-ubuntu-pro-focal:pro-20_04-lts-arm64:20.04.202410160             20.04.202410160
Arm64           0001-com-ubuntu-pro-jammy             Canonical    pro-22_04-lts-arm64    Canonical:0001-com-ubuntu-pro-jammy:pro-22_04-lts-arm64:22.04.202409120             22.04.202409120
Arm64           0001-com-ubuntu-pro-jammy             Canonical    pro-22_04-lts-arm64    Canonical:0001-com-ubuntu-pro-jammy:pro-22_04-lts-arm64:22.04.202409130             22.04.202409130
Arm64           0001-com-ubuntu-pro-jammy             Canonical    pro-22_04-lts-arm64    Canonical:0001-com-ubuntu-pro-jammy:pro-22_04-lts-arm64:22.04.202409170             22.04.202409170
Arm64           0001-com-ubuntu-pro-jammy             Canonical    pro-22_04-lts-arm64    Canonical:0001-com-ubuntu-pro-jammy:pro-22_04-lts-arm64:22.04.202410020             22.04.202410020
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202206150              20.04.202206150
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202206220              20.04.202206220
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202207050              20.04.202207050
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202207130              20.04.202207130
Arm64           0001-com-ubuntu-server-focal          Canonical    20_04-lts-arm64        Canonical:0001-com-ubuntu-server-focal:20_04-lts-arm64:20.04.202208100              20.04.202208100
